"","sp","x","y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"387","coffini",-84.6718,10.0095,25.9483337402344,10.3900003433228,76.4645233154297,83.9716033935547,33.5400009155273,19.9519996643066,13.5880012512207,25.3460006713867,26.3893337249756,27.1639995574951,25.0973320007324,2272,404,7,81.7190322875977,1088,30,388,591
"394","coffini",-83.9744,10.1599,21.4306659698486,8.66800022125244,80.1405334472656,63.5511817932129,27.0559997558594,16.2399997711182,10.8159999847412,21.6286659240723,21.8666667938232,22.2846660614014,20.6973323822021,3599,384,132,30.915620803833,1123,484,574,998
"400","coffini",-84.7,10.3,21.0205001831055,8.89099979400635,77.5287780761719,69.5922164916992,27.0839996337891,15.6160001754761,11.467999458313,20.8446674346924,21.5053329467773,21.9466667175293,20.2186660766602,3489,440,103,38.6930618286133,1229,390,479,863
"402","coffini",-85.7485,10.3058,26.8980007171631,10.7313327789307,72.3720932006836,95.7812194824219,35.2719993591309,20.4440002441406,14.8279991149902,26.2353324890137,27.2679996490479,28.3113327026367,25.9400005340576,1752,374,2,97.1094512939453,933,9,266,441
"405","coffini",-85.2,10.4167,27.3586673736572,10.3326663970947,76.8342132568359,72.0392074584961,34.6640014648438,21.2159996032715,13.4480018615723,26.92799949646,27.6073322296143,28.3733329772949,26.5599994659424,1893,355,6,82.6876525878906,906,28,297,499
"406","coffini",-84.015,10.422,25.9654998779297,8.40566635131836,76.359619140625,79.0811920166016,31.7479991912842,20.7399997711182,11.007999420166,26.1313343048096,26.6619987487793,27.0673332214355,25.0806655883789,3704,471,115,38.3545417785645,1252,422,553,1064
"410","coffini",-83.9833,10.4333,26.0324993133545,8.44499969482422,76.3838653564453,78.6551742553711,31.8359985351562,20.7799987792969,11.0559997558594,26.1900005340576,26.7319984436035,27.1306667327881,25.1526660919189,3720,480,131,37.3030662536621,1250,447,573,1079
"421","coffini",-84.39693,11.0179,25.8314990997314,7.6763334274292,74.9349212646484,71.971565246582,31.2199993133545,20.9759998321533,10.2439994812012,25.9759998321533,26.1926670074463,26.742000579834,24.9513320922852,3099,443,63,47.4179229736328,1172,257,380,801
"423","coffini",-84.46,12.11,25.1706657409668,6.98866653442383,72.7379837036133,79.1681976318359,30.1200008392334,20.511999130249,9.60800170898438,25.3540000915527,25.3419990539551,26.0613327026367,24.1100006103516,2557,419,46,58.5370712280273,1132,178,644,366
"424","coffini",-84.0869,12.1583,25.6411666870117,6.8730001449585,73.0548553466797,77.8589935302734,30.3719997406006,20.9640007019043,9.40799903869629,25.826000213623,25.7666664123535,26.503999710083,24.5793342590332,3113,528,53,56.5594940185547,1353,208,689,533
